省份,剧种,BV号,视频进度(秒),弹幕内容
四川,川剧,BV11f421v74w,3789.757,这个演员长得帅
四川,川剧,BV11f421v74w,4324.776,哈哈哈哈哈哈哈哈哈哈哈哈
四川,川剧,BV11f421v74w,4163.589,成了？
四川,川剧,BV11f421v74w,536.666,姚安红彤彤的
四川,川剧,BV11f421v74w,4363.278,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，来者不拒
四川,川剧,BV11f421v74w,2293.671,哈哈哈哈哈哈哈
四川,川剧,BV11f421v74w,2926.19,好功夫
四川,川剧,BV11f421v74w,772.647,那我投姚安一票吧
四川,川剧,BV11f421v74w,626.259,这里就体现出三个男主性格不一样了
四川,川剧,BV11f421v74w,2753.829,我们警幻姐姐好忙哈哈哈哈哈
四川,川剧,BV11f421v74w,1097.309,一瞬间的良心是有的，肯定没坚持下去
四川,川剧,BV11f421v74w,2213.905,警幻仙子好忙
四川,川剧,BV11f421v74w,1265.78,纠结，说明他已经想好了选什么，只是有外来因素干扰
四川,川剧,BV11f421v74w,5392.974,哈哈被集火了
四川,川剧,BV11f421v74w,4350.69,遭不住遭不住哈哈哈哈哈哈
四川,川剧,BV11f421v74w,6283.625,最后的收尾，哈哈大笑好绝，真的让我有种戏台和现实恍惚的感觉
四川,川剧,BV11f421v74w,3640.891,奶仁这个演的也不简单，既要演出风流，又能讨喜。
四川,川剧,BV11f421v74w,2452.038,他是新晋顶流
四川,川剧,BV11f421v74w,523.25,谁家红绿灯搁这了
四川,川剧,BV11f421v74w,5776.783,红绿灯
四川,川剧,BV11f421v74w,4021.503,年下撒娇小狗
四川,川剧,BV11f421v74w,1102.829,这椅子都是镶金的呀 好纠结
四川,川剧,BV11f421v74w,4943.59,定睛气绝脸
四川,川剧,BV11f421v74w,4033.922,后来真归西了
四川,川剧,BV11f421v74w,1259.009,他竟然纠结过，我以为会直接抛弃她原配
四川,川剧,BV11f421v74w,1962.41,想起另一出戏里面赴任路上把妻子推下船的那个，也是类似的言论，自古渣男是一家
四川,川剧,BV11f421v74w,5047.963,这样看，另两个更渣
四川,川剧,BV11f421v74w,3365.395,这h货最该死，但是绿娥死也跟第一个iz
四川,川剧,BV11f421v74w,458.235,给不认识的人说一下蓝色的是王魁
四川,川剧,BV11f421v74w,4302.116,他俩都害怕往后退了
四川,川剧,BV11f421v74w,2749.911,确实，有点废神仙姐姐
四川,川剧,BV11f421v74w,6043.562,就现在也不敢说倒地哪一日能到
四川,川剧,BV11f421v74w,2746.308,前面的可能是说他如此年轻就演的这么好
四川,川剧,BV11f421v74w,2078.933,他一出来我就笑的绷不住了，一脸吃瓜的样子。
四川,川剧,BV11f421v74w,915.572,嘿你俩还看不起了，你俩也没比他强哪去。
四川,川剧,BV11f421v74w,5146.988,给天下每个妹娃儿一个家哈哈哈哈
四川,川剧,BV11f421v74w,1575.617,桂英你还是去挂帅吧（知道不是一个剧）
四川,川剧,BV11f421v74w,1282.282,啊～巴适～
四川,川剧,BV11f421v74w,567.47,嚯，给你美的
四川,川剧,BV11f421v74w,3076.863,这是鬼跟在后面？
四川,川剧,BV11f421v74w,3202.35,该说不说，这结婚场景的锣鼓真喜庆
四川,川剧,BV11f421v74w,2835.364,不要百分百相信任何人，父母亲戚朋友枕边人都是
四川,川剧,BV11f421v74w,4327.863,姚安式嘲讽
四川,川剧,BV11f421v74w,4277.354,姚安还记着耍他风流的仇ne
四川,川剧,BV11f421v74w,3552.773,符合风流人设
四川,川剧,BV11f421v74w,2767.851,姚安变脸好快
四川,川剧,BV11f421v74w,924.099,互相损
四川,川剧,BV11f421v74w,2896.685,这蹲起好厉害！
四川,川剧,BV11f421v74w,5649.259,丸辣
四川,川剧,BV11f421v74w,1476.794,就是戏曲台步，没什么鬼步
四川,川剧,BV11f421v74w,4832.565,裕仁兄太可爱了
四川,川剧,BV11f421v74w,3675.611,警幻仙姑：别吵，我在换衣服
四川,川剧,BV11f421v74w,3632.999,好风流哈哈哈
四川,川剧,BV11f421v74w,3071.357,绷不住了
四川,川剧,BV11f421v74w,2676.855,这个踢袍好帅
四川,川剧,BV11f421v74w,4135.613,两个小时不到的戏剧 中间肯定省略了很多时间呀
四川,川剧,BV11f421v74w,2826.59,二人不观井，一人不进庙
