省份,剧种,BV号,标题,简介,播放量,点赞数,投币数,收藏数,弹幕总数,抓取时间
陕西,秦腔,BV1TB4y1W7Dr,秦腔《三滴血》西安易俗社,《三滴血》取材于《阅微草堂笔记》，讲述了一场关于“滴血认亲”的故事,36183,402,100,763,249,2026-04-04 19:02:03
陕西,秦腔,BV1as411t7Mj,【剧情/历史】白鹿原【秦腔 华阴老腔--将军】【有字幕 陈忠实】,剪自白鹿原 华阴老腔系明末清初华阴县泉店村张家户族的家族戏。其声腔刚直高亢、磅礴豪迈。 秦腔又称乱弹，乱弹源于西秦腔，是一种非常古老的汉族戏曲剧种。主要流行于中国西北地区的陕西、甘肃、青海、宁夏、新疆等地，又因其以枣木梆子为击节乐器，所以又叫“梆子腔”，俗称“桄桄子”。今陕西宝鸡和甘肃天水为古西秦之地，经史料考证，西秦腔源于甘肃天水，后经来往商客带入长安，使其得以壮大，发展 。清康熙时，秦腔此时已发展为成熟期。待到乾隆年间，魏长生进京演出秦腔，轰动京师。对各地梆子声腔的形成有着直接影响。,121806,1879,669,2645,382,2026-04-04 19:02:14
云南,滇剧,BV1ss411e79x,滇剧合辑【缓慢更新】,看一部传一部。,21255,238,144,476,36,2026-04-04 19:02:28
云南,滇剧,BV17q4y1F7jK,【滇剧版】《神女劈观》陈亚萍（国家队再添一员！）,-,229060,39202,23264,9211,554,2026-04-04 19:02:42
云南,滇剧,BV17F411g7Vj,几尺宽的戏台，这位云南滇剧传承人登了60年。,“说好的唱一辈子戏，差一年，一个月，一天，一个时辰都不算一辈子。”戏一折，水袖起落，这位来自云南安宁的滇剧传承人，在戏台上坚守了60年，只愿后继有人再唱一腔。本期视频联合@云南共青团  弘扬戏曲精神，感谢时代青年为传统戏曲注入活力。,37341,7070,2153,1302,166,2026-04-04 19:02:57
云南,滇剧,BV1kb4y1E7HK,滇剧《万年礼乐万年欢》陈亚萍演唱,-,2207,379,167,43,3,2026-04-04 19:03:14
广东,粤剧,BV1RF411v7Hp,大广东请求出战！《原神》x 曾小敏「神女劈观」真.粤剧版,拳分南北，而家国唯一。 我大中华文化，如银河星数，百花争艳。 本身《原神》与「神女劈观」已将文化传承做得绝赞。 但今日，小弟斗胆邀请粤剧女神.曾小敏老师出山，以粤曲戏腔再添一笔，唱与诸位听。  其实，文化又何止南北，更有传统与次世代的碰撞，迸发瑰丽的新火花。 今次《原神》的匠心，还有京剧原唱：云堇（杨扬老师）的演绎，感染着我，才有此一念。 再次感谢曾小敏老师，让小弟终于有机会，为传统粤剧文化献上一点微薄之力。 希望中华文化，无论南北，都可以薪火相传，繁花似锦。  本家：BV1kS4y1T7kK,4815485,488468,442243,159818,16092,2026-04-04 19:03:26
广东,粤剧,BV1954y1h7KV,粤剧《帝女花》片段,粤剧《帝女花》片段,1398074,29859,10740,20479,1893,2026-04-04 19:03:45
广东,粤剧,BV11tMizEETA,任剑辉❤️白雪仙【帝女花·谪仙】妆台秋思,-,929743,121067,2475,34394,572,2026-04-04 19:04:01
广东,粤剧,BV18G411J76Y,传统粤曲《菜鲲追鸡》，ikun必看哦,-,1679870,157967,56443,28381,2792,2026-04-04 19:04:20
